Entity,Code,Year,UIS: Percentage of population age 25+ with at least completed lower secondary education (ISCED 2 or higher). Total
Turkey,TUR,1975,9.10000038146973
Turkey,TUR,1980,12.3000001907349
Turkey,TUR,1985,15.439920425415002
Turkey,TUR,2004,28.9969692230225
Turkey,TUR,2005,30.5533294677734
Turkey,TUR,2006,31.7194004058838
Turkey,TUR,2007,32.316131591796896
Turkey,TUR,2008,34.9197311401367
Turkey,TUR,2009,36.4313812255859
Turkey,TUR,2010,46.585880279540994
Turkey,TUR,2011,49.748130798339794
Turkey,TUR,2012,51.13713073730471
Turkey,TUR,2013,52.675319671630895
Turkey,TUR,2014,54.9677581787109
Turkey,TUR,2015,56.3549003601074
Turkmenistan,TKM,1995,90.7684783935547
Turks and Caicos Islands,TCA,1970,15.792030334472699
Turks and Caicos Islands,TCA,1980,24.5454502105713
Tuvalu,TUV,1991,24.3174991607666
Uganda,UGA,1991,10.9650201797485
Uganda,UGA,2002,11.5188798904419
Uganda,UGA,2008,23.6276206970215
Uganda,UGA,2010,28.8301105499268
Uganda,UGA,2012,24.0258598327637
Ukraine,UKR,1970,41.4034881591797
Ukraine,UKR,2001,88.54322052001949
United Arab Emirates,ARE,1975,22.6686305999756
United Arab Emirates,ARE,2005,62.7000503540039
United Kingdom,GBR,2009,99.76856231689449
United Kingdom,GBR,2010,99.80786895751949
United Kingdom,GBR,2011,99.8556365966797
United Kingdom,GBR,2012,99.80831909179692
United Kingdom,GBR,2013,99.8322906494141
United Kingdom,GBR,2014,99.8598480224609
United States,USA,1980,92.7019882202148
United States,USA,2004,93.71424102783199
United States,USA,2005,93.6958770751953
United States,USA,2006,94.1891632080078
United States,USA,2008,94.4855499267578
United States,USA,2009,94.53521728515629
United States,USA,2010,94.76950073242192
United States,USA,2011,94.902732849121
United States,USA,2012,94.98448944091801
United States,USA,2013,95.20452880859379
United States,USA,2014,95.2634735107422
United States,USA,2015,95.33496856689449
Uruguay,URY,1975,23.7458305358887
Uruguay,URY,1985,37.2999992370605
Uruguay,URY,1996,42.2703704833984
Uruguay,URY,2003,59.2605400085449
Uruguay,URY,2006,47.13330078125
Uruguay,URY,2008,51.160770416259794
Uruguay,URY,2009,49.7586898803711
Uruguay,URY,2010,49.4982109069824
Uruguay,URY,2011,51.2122192382813
Uruguay,URY,2012,52.460948944091705
Uruguay,URY,2013,52.3144111633301
Uruguay,URY,2014,53.3844795227051
Uruguay,URY,2015,54.103141784668
Uzbekistan,UZB,2013,99.8928680419922
Uzbekistan,UZB,2014,99.86815643310551
Uzbekistan,UZB,2015,99.8860626220703
Vanuatu,VUT,1979,22
Venezuela,VEN,1971,16.847120285034197
Venezuela,VEN,1981,29.2999992370605
Venezuela,VEN,1990,23.7598705291748
Venezuela,VEN,2001,28.8669109344482
Venezuela,VEN,2006,45.9270706176758
Venezuela,VEN,2007,50.938991546630895
Venezuela,VEN,2008,52.628101348877
Venezuela,VEN,2009,53.757240295410206
Venezuela,VEN,2011,65.37716674804689
Venezuela,VEN,2015,69.5971527099609
Vietnam,VNM,1989,13.3248901367188
Vietnam,VNM,2009,64.9995269775391
Zambia,ZMB,1980,13.1999998092651
Zambia,ZMB,1990,21.7363204956055
Zimbabwe,ZWE,1992,24.275520324707
Zimbabwe,ZWE,2002,46.0166702270508
Zimbabwe,ZWE,2012,60.7591209411621
Zimbabwe,ZWE,2014,58.7631683349609
